Roll,semester,Year,sub_code,total_credits,credit_obtained,sub_type
0901EE16,1,2009,CH101,8,F,CORE
0901EE16,1,2009,CH110,3,BB,CORE
0901EE16,1,2009,EE101,8,DD,CORE
0901EE16,1,2009,HS101,6,DD,CORE
0901EE16,1,2009,MA101,8,DD,CORE
0901EE16,1,2009,ME110,3,AB,CORE
0901EE16,1,2009,ME111,7,CD,CORE
0901EE16,1,2009,PH101,6,DD,CORE
0901EE16,2,2009,CH102,6,DD,CORE
0901EE16,2,2009,CS101,6,DD,CORE
0901EE16,2,2009,CS110,3,CD,CORE
0901EE16,2,2009,EE102,4,BC,CORE
0901EE16,2,2009,MA102,8,DD,CORE
0901EE16,2,2009,ME101,8,F,CORE
0901EE16,2,2009,PH102,6,CD,CORE
0901EE16,2,2009,PH110,3,CC,CORE
0901EE16,3,2010,CS201,9,F,CORE
0901EE16,3,2010,EE200,6,CC,CORE
0901EE16,3,2010,EE201,6,DD,CORE
0901EE16,3,2010,EE202,3,CD,CORE
0901EE16,3,2010,EE220,8,DD,CORE
0901EE16,3,2010,HS201,6,DD,HS ELECTIVE
0901EE16,3,2010,MA201,8,F,CORE
0901EE16,4,2010,EE203,6,DD,CORE
0901EE16,4,2010,EE204,3,CD,CORE
0901EE16,4,2010,EE230,8,CC,CORE
0901EE16,4,2010,EE280,6,CC,CORE
0901EE16,4,2010,EE281,3,DD,CORE
0901EE16,4,2010,HS202,6,DD,HS Elective
0901EE16,4,2010,MA225,8,CD,CORE
0901EE16,4,2010,MA251,6,DD,Elective-Sc.
