Roll,semester,Year,sub_code,total_credits,credit_obtained,sub_type
1001CS11,1,2010,CH101,8,DD,CORE
1001CS11,1,2010,CH110,3,CC,CORE
1001CS11,1,2010,EE101,8,CD,CORE
1001CS11,1,2010,HS101,6,CD,CORE
1001CS11,1,2010,MA101,8,DD,CORE
1001CS11,1,2010,ME110,3,BB,CORE
1001CS11,1,2010,ME111,7,DD,CORE
1001CS11,1,2010,PH101,6,DD,CORE
1001CS11,2,2010,CH102,6,BB,CORE
1001CS11,2,2010,CS101,6,BC,CORE
1001CS11,2,2010,CS110,3,CC,CORE
1001CS11,2,2010,EE102,4,BC,CORE
1001CS11,2,2010,MA102,8,DD,CORE
1001CS11,2,2010,ME101,8,CC,CORE
1001CS11,2,2010,PH102,6,DD,CORE
1001CS11,2,2010,PH110,3,BB,CORE
1001CS11,3,2011,CS201,9,BB,CORE
1001CS11,3,2011,CS203,6,CC,CORE
1001CS11,3,2011,CS221,6,CD,CORE
1001CS11,3,2011,EE220,8,DD,CORE
1001CS11,3,2011,HS201,6,CC,HS ELECTIVE
1001CS11,3,2011,MA201,8,DD,CORE
1001CS11,4,2011,CS204,6,CD,CORE
1001CS11,4,2011,CS222,6,DD,CORE
1001CS11,4,2011,CS223,3,BC,CORE
1001CS11,4,2011,CS241,7,CC,CORE
1001CS11,4,2011,CS242,5,BB,CORE
1001CS11,4,2011,HS222,6,BB,HSS Elective
1001CS11,4,2011,MA225,8,CD,CORE
1001CS11,4,2011,MA251,6,CD,Science Elective
1001CS11,5,2012,CS301,6,CD,CORE
1001CS11,5,2012,CS331,8,CD,CORE
1001CS11,5,2012,CS341,6,CC,CORE
1001CS11,5,2012,CS342,5,BB,CORE
1001CS11,5,2012,CS343,6,DD,CORE
1001CS11,5,2012,CS344,6,CD,CORE
1001CS11,5,2012,CS345,5,BB,CORE
1001CS11,6,2012,CS302,6,CC,CORE
1001CS11,6,2012,CS346,6,BC,CORE
1001CS11,6,2012,CS347,3,BB,CORE
1001CS11,6,2012,CS348,8,CC,CORE
1001CS11,6,2012,CS362,8,CC,CORE
1001CS11,6,2012,CS399,3,AA,CORE
1001CS11,6,2012,HS331,6,BB,HS Elective
1001CS11,7,2013,CS400,2,CC,CORE
1001CS11,7,2013,CS421,6,CD,CORE
1001CS11,7,2013,CS422,5,BC,CORE
1001CS11,7,2013,CS498,10,BB,CORE
1001CS11,7,2013,CS543,6,CC,ELECTIVE
1001CS11,7,2013,CS561,6,BC,ELECTIVE
1001CS11,7,2013,PH401,6,BC,Open Elective - I
1001CS11,8,2014,CE502,6,CC,Open Elective - II
1001CS11,8,2014,CS499,16,BB,CORE
1001CS11,8,2014,CS502,6,BB,Departmental Elective - III
1001CS11,8,2014,CS548,6,CC,Departmental Elective - IV
1001CS11,8,2014,HS441,6,BC,HS Elective
