Roll,semester,Year,sub_code,total_credits,credit_obtained,sub_type
1301CE05,1,2013,CH101,8,DD,CORE
1301CE05,1,2013,CH110,3,CC,CORE
1301CE05,1,2013,EE101,8,CD,CORE
1301CE05,1,2013,HS101,6,CD,CORE
1301CE05,1,2013,MA101,8,CD,CORE
1301CE05,1,2013,ME110,3,BC,CORE
1301CE05,1,2013,ME111,7,CC,CORE
1301CE05,1,2013,PH101,6,CC,CORE
1301CE05,2,2014,CH102,6,CD,CORE
1301CE05,2,2014,CS101,6,DD,CORE
1301CE05,2,2014,CS110,3,CD,CORE
1301CE05,2,2014,EE102,4,BC,CORE
1301CE05,2,2014,MA102,8,CC,CORE
1301CE05,2,2014,ME101,8,DD,CORE
1301CE05,2,2014,PH102,6,CD,CORE
1301CE05,2,2014,PH110,3,BC,CORE
1301CE05,3,2014,CE201,6,BC,CORE
1301CE05,3,2014,CE203,6,BC,CORE
1301CE05,3,2014,CE205,6,CC,CORE
1301CE05,3,2014,CE207,3,BC,CORE
1301CE05,3,2014,CS201,9,CC,CORE
1301CE05,3,2014,HS231,6,CD,HS Elective
1301CE05,3,2014,MA201,8,AB,CORE
1301CE05,4,2015,CE202,8,BB,CORE
1301CE05,4,2015,CE204,6,CC,CORE
1301CE05,4,2015,CE206,6,BB,CORE
1301CE05,4,2015,CE208,6,BC,CORE
1301CE05,4,2015,CE210,3,BC,CORE
1301CE05,4,2015,CE212,3,CD,CORE
1301CE05,4,2015,HS232,6,CD,HS Elective
1301CE05,4,2015,PH201,6,BC,Science Elective
1301CE05,5,2015,CE301,8,BB,CORE
1301CE05,5,2015,CE303,6,CC,CORE
1301CE05,5,2015,CE305,6,CC,CORE
1301CE05,5,2015,CE307,6,CD,CORE
1301CE05,5,2015,CE309,7,CD,CORE
1301CE05,5,2015,CE311,3,CC,CORE
1301CE05,6,2016,CE302,8,BB,CORE
1301CE05,6,2016,CE304,6,BB,CORE
1301CE05,6,2016,CE306,6,BB,CORE
1301CE05,6,2016,CE308,6,CC,CORE
1301CE05,6,2016,CE310,3,CC,CORE
1301CE05,6,2016,CE312,3,BC,CORE
1301CE05,6,2016,CE313,3,CC,CORE
1301CE05,6,2016,CE316,6,BB,Departmental Elective
1301CE05,6,2016,HS311,6,CC,HSS Electives
1301CE05,7,2016,CE400,2,BB,CORE
1301CE05,7,2016,CE401,6,DD,CORE
1301CE05,7,2016,CE403,6,DD,CORE
1301CE05,7,2016,CE498,8,BC,CORE
1301CE05,7,2016,CE517,6,DD,Department Elective - I
1301CE05,7,2016,CE523,6,CC,Department Elective - II
1301CE05,7,2016,HS451,6,AB,Open Elective - I
1301CE05,8,2017,CB412,6,CC,Open Elective - II
1301CE05,8,2017,CE499,16,BC,CORE
1301CE05,8,2017,CE528,6,CD,Department Elective - IV
1301CE05,8,2017,CE544,6,CD,Department Elective - III
1301CE05,8,2017,HS441,6,CD,HS Elective
