Roll,semester,Year,sub_code,total_credits,credit_obtained,sub_type
0801ME12,1,2008,CH101,8,CD,CORE
0801ME12,1,2008,CH110,3,CC,CORE
0801ME12,1,2008,EE101,8,CD,CORE
0801ME12,1,2008,HS101,6,CC,CORE
0801ME12,1,2008,MA101,8,CD,CORE
0801ME12,1,2008,ME111,7,BC,CORE
0801ME12,1,2008,PH101,6,DD,CORE
0801ME12,1,2008,PH110,3,BC,CORE
0801ME12,2,2008,CH102,6,CD,CORE
0801ME12,2,2008,CS101,6,DD,CORE
0801ME12,2,2008,CS110,3,BC,CORE
0801ME12,2,2008,EE102,4,BC,CORE
0801ME12,2,2008,MA102,8,CD,CORE
0801ME12,2,2008,ME101,8,DD,CORE
0801ME12,2,2008,ME110,3,BB,CORE
0801ME12,2,2008,PH102,6,DD,CORE
0801ME12,3,2009,CS201,9,CC,CORE
0801ME12,3,2009,HS201,6,CD,HS Elective
0801ME12,3,2009,MA201,8,CD,CORE
0801ME12,3,2009,ME201,6,CC,CORE
0801ME12,3,2009,ME204,6,CC,CORE
0801ME12,3,2009,ME205,8,CC,CORE
0801ME12,3,2009,ME211,4,AB,CORE
0801ME12,4,2009,EE280,6,DD,CORE
0801ME12,4,2009,EE281,3,BC,CORE
0801ME12,4,2009,HS211,6,CC,HS ELECTIVE
0801ME12,4,2009,MA251,6,CD,Elective-Sc.
0801ME12,4,2009,ME202,6,CC,CORE
0801ME12,4,2009,ME203,6,CC,CORE
0801ME12,4,2009,ME206,6,CD,CORE
0801ME12,4,2009,ME210,6,BC,CORE
0801ME12,4,2009,ME212,4,BB,CORE
0801ME12,5,2010,ME301,8,BC,CORE
0801ME12,5,2010,ME302,6,BB,CORE
0801ME12,5,2010,ME303,8,CC,CORE
0801ME12,5,2010,ME304,6,BB,CORE
0801ME12,5,2010,ME305,8,BB,CORE
0801ME12,5,2010,ME310,4,AB,CORE
0801ME12,5,2010,ME321,6,BB,CORE
0801ME12,6,2010,HS331,6,BC,HS Elective
0801ME12,6,2010,ME306,8,CC,CORE
0801ME12,6,2010,ME307,8,BB,CORE
0801ME12,6,2010,ME308,6,BB,CORE
0801ME12,6,2010,ME309,8,CC,CORE
0801ME12,6,2010,ME311,4,BB,CORE
0801ME12,6,2010,ME322,6,BC,CORE
0801ME12,7,2011,MA410,6,AB,OPEN ELECTIVE - I
0801ME12,7,2011,ME400,2,AB,CORE
0801ME12,7,2011,ME401,8,AB,CORE
0801ME12,7,2011,ME411,4,AA,CORE
0801ME12,7,2011,ME441,6,BB,DEPARTMENTAL ELECTIVE - I
0801ME12,7,2011,ME461,6,AB,DEPARTMENTAL ELECTIVE - II
0801ME12,7,2011,ME498,8,AB,CORE
0801ME12,8,2011,HS441,6,CC,HSS Elective
0801ME12,8,2011,MA412,6,CC,Open Elective - II
0801ME12,8,2011,ME442,6,BC,Departmental Elective - III
0801ME12,8,2011,ME446,6,CD,Departmental Elective - IV
0801ME12,8,2011,ME499,16,BB,CORE
