Roll,semester,Year,sub_code,total_credits,credit_obtained,sub_type
1211MC07,1,2012,CS501,6,AB,CORE
1211MC07,1,2012,CS507,6,BC,CORE
1211MC07,1,2012,MA501,6,BC,ELECTIVE
1211MC07,1,2012,MA505,6,BC,ELECTIVE
1211MC07,1,2012,MA509,6,BB,ELECTIVE
1211MC07,1,2012,MC501,6,AB,CORE
1211MC07,1,2012,MC591,4,BB,CORE
1211MC07,2,2012,CS502,6,AB,ELECTIVE
1211MC07,2,2012,CS504,6,AB,ELECTIVE
1211MC07,2,2012,MA502,6,BC,CORE
1211MC07,2,2012,MA504,6,AB,CORE
1211MC07,2,2012,MA508,6,AB,ELECTIVE
1211MC07,2,2012,MC502,6,AA,CORE
1211MC07,2,2012,MC592,4,AA,CORE
1211MC07,3,2013,MA600,10,AA,CORE
1211MC07,3,2013,MA601,40,AA,CORE
1211MC07,4,2014,MA602,45,AB,CORE
