Roll,semester,Year,sub_code,total_credits,credit_obtained,sub_type
1301CH10,1,2013,CH101,8,DD,CORE
1301CH10,1,2013,CH110,3,CD,CORE
1301CH10,1,2013,EE101,8,DD,CORE
1301CH10,1,2013,HS101,6,CD,CORE
1301CH10,1,2013,MA101,8,DD,CORE
1301CH10,1,2013,ME110,3,BB,CORE
1301CH10,1,2013,ME111,7,CC,CORE
1301CH10,1,2013,PH101,6,CC,CORE
1301CH10,2,2014,CH102,6,CC,CORE
1301CH10,2,2014,CS101,6,DD,CORE
1301CH10,2,2014,CS110,3,BC,CORE
1301CH10,2,2014,EE102,4,BC,CORE
1301CH10,2,2014,MA102,8,CC,CORE
1301CH10,2,2014,ME101,8,CD,CORE
1301CH10,2,2014,PH102,6,CD,CORE
1301CH10,2,2014,PH110,3,BC,CORE
1301CH10,3,2014,CB201,6,DD,CORE
1301CH10,3,2014,CH203,8,CD,CORE
1301CH10,3,2014,CH205,6,DD,CORE
1301CH10,3,2014,CS201,9,CD,CORE
1301CH10,3,2014,HS231,6,DD,HS Elective
1301CH10,3,2014,MA201,8,DD,CORE
1301CH10,3,2014,ME204,6,CD,CORE
1301CH10,4,2015,CH202,6,CD,CORE
1301CH10,4,2015,CH204,6,DD,CORE
1301CH10,4,2015,CH206,6,DD,CORE
1301CH10,4,2015,CH208,6,CD,CORE
1301CH10,4,2015,CH210,6,BB,CORE
1301CH10,4,2015,HS232,6,CD,HS Elective
1301CH10,4,2015,MA231,6,DD,Science Elective
1301CH10,5,2015,CB311,8,CD,CORE
1301CH10,5,2015,CB314,3,BC,CORE
1301CH10,5,2015,CH301,6,DD,CORE
1301CH10,5,2015,CH303,6,CD,CORE
1301CH10,5,2015,CH305,6,CC,CORE
1301CH10,5,2015,CH307,6,CD,CORE
1301CH10,5,2015,CH310,3,BB,CORE
1301CH10,5,2015,HS351,6,CC,HS Elective
1301CH10,5,2015,ME305,8,CD,CORE
1301CH10,6,2016,CB302,6,CD,CORE
1301CH10,6,2016,CB315,3,AB,CORE
1301CH10,6,2016,CH302,6,DD,CORE
1301CH10,6,2016,CH304,6,CC,CORE
1301CH10,6,2016,CH306,5,CD,CORE
1301CH10,6,2016,CH308,6,DD,CORE
1301CH10,6,2016,CH320,3,BC,CORE
1301CH10,6,2016,HS311,6,CD,HSS Electives
1301CH10,7,2016,CB404,6,DD,Department Elective - I
1301CH10,7,2016,CH400,2,BC,CORE
1301CH10,7,2016,CH401,6,DD,CORE
1301CH10,7,2016,CH409,6,DD,Department Elective - II
1301CH10,7,2016,CH410,10,CC,CORE
1301CH10,7,2016,HS451,6,CD,Open Elective - I
1301CH10,8,2017,CB406,6,CD,CORE
1301CH10,8,2017,CB411,6,CC,Department Elective - III
1301CH10,8,2017,CB412,6,BC,Open Elective - II
1301CH10,8,2017,CH411,16,BB,CORE
1301CH10,8,2017,CH512,6,CC,Department Elective - IV
1301CH10,8,2017,HS441,6,CD,HS Elective
