Roll,semester,Year,sub_code,total_credits,credit_obtained,sub_type
1311NT01,1,2013,CH501,6,BC,Elective III
1311NT01,1,2013,CH502,6,BB,Elective II
1311NT01,1,2013,NT501,6,BC,CORE
1311NT01,1,2013,NT502,6,BC,CORE
1311NT01,1,2013,NT503,6,BB,CORE
1311NT01,1,2013,NT504,4,BC,CORE
1311NT01,1,2013,PH501,6,BC,Elective I
1311NT01,2,2014,CH512,6,BC,Elective VI
1311NT01,2,2014,HS514,4,BC,CORE
1311NT01,2,2014,NT511,6,CC,CORE
1311NT01,2,2014,NT512,6,CC,CORE
1311NT01,2,2014,NT513,6,AB,CORE
1311NT01,2,2014,NT514,4,CC,CORE
1311NT01,2,2014,PH511,6,CC,Elective IV
1311NT01,2,2014,PH514,6,BB,Elective V
1311NT01,3,2014,NT601,40,BB,CORE
1311NT01,3,2014,NT602,10,CD,CORE
1311NT01,4,2015,NT611,45,BB,CORE
